Year,Province,"Income, consumption and savings",UOM, VALUE 
2017,Newfoundland and Labrador,Less: current transfers paid,Dollars,35360
2018,Newfoundland and Labrador,Less: current transfers paid,Dollars,34752
2019,Newfoundland and Labrador,Less: current transfers paid,Dollars,35230
2020,Newfoundland and Labrador,Less: current transfers paid,Dollars,34593
2010,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7975
2011,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,8091
2012,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,8001
2013,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,8049
2014,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7860
2015,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7675
2016,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7875
2017,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7517
2018,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7567
2019,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7561
2020,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7738
2010,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11173
2011,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,12279
2012,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11907
2013,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11568
2014,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11672
2015,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11908
2016,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11992
2017,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11676
2018,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,12074
2019,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,12028
2020,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,12226
2010,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2799
2011,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2798
2012,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2838
2013,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2942
2014,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2911
2015,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,3026
2016,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2936
2017,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2899
2018,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2986
2019,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2941
2020,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2797
2010,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,6456
2011,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,6377
2012,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,6490
2013,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,6733
2014,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,7022
2015,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,7257
2016,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,7248
2017,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,7299
2018,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,7191
2019,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,7390
2020,Newfoundland and Labrador,Food and non-alcoholic beverages,Dollars,8260
2010,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,3673
2011,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,3628
2012,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,3779
2013,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,3829
2014,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,3973
2015,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,3989
2016,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,4086
2017,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,4103
2018,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,4249
2019,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,4225
2020,Newfoundland and Labrador,Alcoholic beverages and tobacco,Dollars,4482
2010,Newfoundland and Labrador,Clothing and footwear,Dollars,2870
2011,Newfoundland and Labrador,Clothing and footwear,Dollars,2835
2012,Newfoundland and Labrador,Clothing and footwear,Dollars,2830
2013,Newfoundland and Labrador,Clothing and footwear,Dollars,2920
2014,Newfoundland and Labrador,Clothing and footwear,Dollars,2978
2015,Newfoundland and Labrador,Clothing and footwear,Dollars,3056
2016,Newfoundland and Labrador,Clothing and footwear,Dollars,2962
2017,Newfoundland and Labrador,Clothing and footwear,Dollars,2771
2018,Newfoundland and Labrador,Clothing and footwear,Dollars,3590
2019,Newfoundland and Labrador,Clothing and footwear,Dollars,3627
2020,Newfoundland and Labrador,Clothing and footwear,Dollars,2934
2010,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,14700
2011,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,14521
2012,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,15018
2013,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,15560
2014,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,16128
2015,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,16378
2016,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,16625
2017,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,17116
2018,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,15514
2019,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,16089
2020,Newfoundland and Labrador,"Housing, water, electricity, gas and other fuels",Dollars,16932
2010,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3778
2011,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3732
2012,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3741
2013,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3866
2014,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3845
2015,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3862
2016,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3878
2017,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3910
2018,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4412
2019,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4529
2020,Newfoundland and Labrador,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4934
2010,Newfoundland and Labrador,Health,Dollars,2451
2011,Newfoundland and Labrador,Health,Dollars,2421
2012,Newfoundland and Labrador,Health,Dollars,2535
2013,Newfoundland and Labrador,Health,Dollars,2657
2014,Newfoundland and Labrador,Health,Dollars,2724
2015,Newfoundland and Labrador,Health,Dollars,2825
2016,Newfoundland and Labrador,Health,Dollars,2909
2017,Newfoundland and Labrador,Health,Dollars,2936
2018,Newfoundland and Labrador,Health,Dollars,2771
2019,Newfoundland and Labrador,Health,Dollars,2809
2020,Newfoundland and Labrador,Health,Dollars,2692
2010,Newfoundland and Labrador,Transport,Dollars,11832
2011,Newfoundland and Labrador,Transport,Dollars,11687
2012,Newfoundland and Labrador,Transport,Dollars,12266
2013,Newfoundland and Labrador,Transport,Dollars,12927
2014,Newfoundland and Labrador,Transport,Dollars,13005
2015,Newfoundland and Labrador,Transport,Dollars,12672
2016,Newfoundland and Labrador,Transport,Dollars,12960
2017,Newfoundland and Labrador,Transport,Dollars,13373
2018,Newfoundland and Labrador,Transport,Dollars,14129
2019,Newfoundland and Labrador,Transport,Dollars,13998
2020,Newfoundland and Labrador,Transport,Dollars,11194
2010,Newfoundland and Labrador,Communications,Dollars,1869
2011,Newfoundland and Labrador,Communications,Dollars,1846
2012,Newfoundland and Labrador,Communications,Dollars,1919
2013,Newfoundland and Labrador,Communications,Dollars,1975
2014,Newfoundland and Labrador,Communications,Dollars,2106
2015,Newfoundland and Labrador,Communications,Dollars,2229
2016,Newfoundland and Labrador,Communications,Dollars,2372
2017,Newfoundland and Labrador,Communications,Dollars,2522
2018,Newfoundland and Labrador,Communications,Dollars,2365
2019,Newfoundland and Labrador,Communications,Dollars,2417
2020,Newfoundland and Labrador,Communications,Dollars,2440
2010,Newfoundland and Labrador,Recreation and culture,Dollars,5477
2011,Newfoundland and Labrador,Recreation and culture,Dollars,5410
2012,Newfoundland and Labrador,Recreation and culture,Dollars,5529
2013,Newfoundland and Labrador,Recreation and culture,Dollars,5604
2014,Newfoundland and Labrador,Recreation and culture,Dollars,5712
2015,Newfoundland and Labrador,Recreation and culture,Dollars,5819
2016,Newfoundland and Labrador,Recreation and culture,Dollars,5758
2017,Newfoundland and Labrador,Recreation and culture,Dollars,5795
2018,Newfoundland and Labrador,Recreation and culture,Dollars,6419
2019,Newfoundland and Labrador,Recreation and culture,Dollars,6416
2020,Newfoundland and Labrador,Recreation and culture,Dollars,6308
2010,Newfoundland and Labrador,Education,Dollars,570
2011,Newfoundland and Labrador,Education,Dollars,563
2012,Newfoundland and Labrador,Education,Dollars,569
2013,Newfoundland and Labrador,Education,Dollars,576
2014,Newfoundland and Labrador,Education,Dollars,619
2015,Newfoundland and Labrador,Education,Dollars,636
2016,Newfoundland and Labrador,Education,Dollars,644
2017,Newfoundland and Labrador,Education,Dollars,620
2018,Newfoundland and Labrador,Education,Dollars,589
2019,Newfoundland and Labrador,Education,Dollars,610
2020,Newfoundland and Labrador,Education,Dollars,595
2010,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,4181
2011,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,4130
2012,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,4351
2013,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,4688
2014,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,4755
2015,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,4941
2016,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,4961
2017,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,5076
2018,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,5263
2019,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,5384
2020,Newfoundland and Labrador,"Food, beverage and accommodation services",Dollars,3752
2010,Newfoundland and Labrador,Insurance and financial services,Dollars,4327
2011,Newfoundland and Labrador,Insurance and financial services,Dollars,4274
2012,Newfoundland and Labrador,Insurance and financial services,Dollars,4236
2013,Newfoundland and Labrador,Insurance and financial services,Dollars,4481
2014,Newfoundland and Labrador,Insurance and financial services,Dollars,4689
2015,Newfoundland and Labrador,Insurance and financial services,Dollars,4894
2016,Newfoundland and Labrador,Insurance and financial services,Dollars,5110
2017,Newfoundland and Labrador,Insurance and financial services,Dollars,5637
2018,Newfoundland and Labrador,Insurance and financial services,Dollars,5199
2019,Newfoundland and Labrador,Insurance and financial services,Dollars,5294
2020,Newfoundland and Labrador,Insurance and financial services,Dollars,5526
2010,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,3627
2011,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,3583
2012,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,3609
2013,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,3654
2014,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,3697
2015,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,3820
2016,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,3865
2017,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,4025
2018,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,4003
2019,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,4123
2020,Newfoundland and Labrador,Miscellaneous goods and services,Dollars,3910
2010,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7975
2011,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,8091
2012,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,8001
2013,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,8049
2014,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7860
2015,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7675
2016,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7875
2017,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7517
2018,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7567
2019,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7561
2020,Newfoundland and Labrador,Social transfers in kind (STiK): education,Dollars,7738
2010,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11173
2011,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,12279
2012,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11907
2013,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11568
2014,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11672
2015,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11908
2016,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11992
2017,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,11676
2018,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,12074
2019,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,12028
2020,Newfoundland and Labrador,Social transfers in kind (STiK): health,Dollars,12226
2010,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2799
2011,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2798
2012,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2838
2013,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2942
2014,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2911
2015,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,3026
2016,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2936
2017,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2899
2018,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2986
2019,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2941
2020,Newfoundland and Labrador,Social transfers in kind (STiK): other,Dollars,2797
2010,Prince Edward Island,Household disposable income,Dollars," $59,837 "
2011,Prince Edward Island,Household disposable income,Dollars," $58,610 "
2012,Prince Edward Island,Household disposable income,Dollars," $60,937 "
2013,Prince Edward Island,Household disposable income,Dollars," $61,631 "
2014,Prince Edward Island,Household disposable income,Dollars," $62,356 "
2015,Prince Edward Island,Household disposable income,Dollars," $63,660 "
2016,Prince Edward Island,Household disposable income,Dollars," $63,992 "
2017,Prince Edward Island,Household disposable income,Dollars," $66,692 "
2018,Prince Edward Island,Household disposable income,Dollars," $66,234 "
2019,Prince Edward Island,Household disposable income,Dollars," $69,205 "
2020,Prince Edward Island,Household disposable income,Dollars," $74,798 "
2010,Prince Edward Island,Compensation of employees,Dollars,49749
2011,Prince Edward Island,Compensation of employees,Dollars,48729
2012,Prince Edward Island,Compensation of employees,Dollars,50470
2013,Prince Edward Island,Compensation of employees,Dollars,52025
2014,Prince Edward Island,Compensation of employees,Dollars,52620
2015,Prince Edward Island,Compensation of employees,Dollars,52470
2016,Prince Edward Island,Compensation of employees,Dollars,51474
2017,Prince Edward Island,Compensation of employees,Dollars,53008
2018,Prince Edward Island,Compensation of employees,Dollars,53517
2019,Prince Edward Island,Compensation of employees,Dollars,55387
2020,Prince Edward Island,Compensation of employees,Dollars,55525
2010,Prince Edward Island,Net mixed income,Dollars,10499
2011,Prince Edward Island,Net mixed income,Dollars,10284
2012,Prince Edward Island,Net mixed income,Dollars,10869
2013,Prince Edward Island,Net mixed income,Dollars,10689
2014,Prince Edward Island,Net mixed income,Dollars,10597
2015,Prince Edward Island,Net mixed income,Dollars,11109
2016,Prince Edward Island,Net mixed income,Dollars,11897
2017,Prince Edward Island,Net mixed income,Dollars,12169
2018,Prince Edward Island,Net mixed income,Dollars,11948
2019,Prince Edward Island,Net mixed income,Dollars,12744
2020,Prince Edward Island,Net mixed income,Dollars,12580
2010,Prince Edward Island,Property income received,Dollars,8409
2011,Prince Edward Island,Property income received,Dollars,8236
2012,Prince Edward Island,Property income received,Dollars,8384
2013,Prince Edward Island,Property income received,Dollars,8199
2014,Prince Edward Island,Property income received,Dollars,8282
2015,Prince Edward Island,Property income received,Dollars,8361
2016,Prince Edward Island,Property income received,Dollars,8189
2017,Prince Edward Island,Property income received,Dollars,8370
2018,Prince Edward Island,Property income received,Dollars,7838
2019,Prince Edward Island,Property income received,Dollars,8136
2020,Prince Edward Island,Property income received,Dollars,7924
2010,Prince Edward Island,Less: property income paid,Dollars,3168
2011,Prince Edward Island,Less: property income paid,Dollars,3103
2012,Prince Edward Island,Less: property income paid,Dollars,2862
2013,Prince Edward Island,Less: property income paid,Dollars,2933
2014,Prince Edward Island,Less: property income paid,Dollars,2636
2015,Prince Edward Island,Less: property income paid,Dollars,2562
2016,Prince Edward Island,Less: property income paid,Dollars,2497
2017,Prince Edward Island,Less: property income paid,Dollars,2487
2018,Prince Edward Island,Less: property income paid,Dollars,2795
2019,Prince Edward Island,Less: property income paid,Dollars,3104
2020,Prince Edward Island,Less: property income paid,Dollars,2789
2010,Prince Edward Island,Current transfers received,Dollars,19146
2011,Prince Edward Island,Current transfers received,Dollars,18754
2012,Prince Edward Island,Current transfers received,Dollars,19495
2013,Prince Edward Island,Current transfers received,Dollars,19913
2014,Prince Edward Island,Current transfers received,Dollars,19623
2015,Prince Edward Island,Current transfers received,Dollars,20911
2016,Prince Edward Island,Current transfers received,Dollars,21495
2017,Prince Edward Island,Current transfers received,Dollars,22242
2018,Prince Edward Island,Current transfers received,Dollars,22995
2019,Prince Edward Island,Current transfers received,Dollars,24032
2020,Prince Edward Island,Current transfers received,Dollars,29436
2010,Prince Edward Island,Less: current transfers paid,Dollars,24797
2011,Prince Edward Island,Less: current transfers paid,Dollars,24289
2012,Prince Edward Island,Less: current transfers paid,Dollars,25419
2013,Prince Edward Island,Less: current transfers paid,Dollars,26262
2014,Prince Edward Island,Less: current transfers paid,Dollars,26131
2015,Prince Edward Island,Less: current transfers paid,Dollars,26630
2016,Prince Edward Island,Less: current transfers paid,Dollars,26567
2017,Prince Edward Island,Less: current transfers paid,Dollars,26610
2018,Prince Edward Island,Less: current transfers paid,Dollars,27269
2019,Prince Edward Island,Less: current transfers paid,Dollars,27991
2020,Prince Edward Island,Less: current transfers paid,Dollars,27877
2010,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6557
2011,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6646
2012,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6689
2013,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6622
2014,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6409
2015,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6410
2016,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6337
2017,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6317
2018,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6337
2019,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6581
2020,Prince Edward Island,Social transfers in kind (STiK): education,Dollars,6719
2010,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9311
2011,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9171
2012,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9533
2013,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9955
2014,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9919
2015,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,10165
2016,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,10206
2017,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,10276
2018,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9730
2019,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9824
2020,Prince Edward Island,Social transfers in kind (STiK): health,Dollars,9928
2010,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3261
2011,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3273
2012,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3223
2013,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3319
2014,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3100
2015,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3030
2016,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3060
2017,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3164
2018,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3246
2019,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3434
2020,Prince Edward Island,Social transfers in kind (STiK): other,Dollars,3205
2010,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6236
2011,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6108
2012,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6305
2013,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6377
2014,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6461
2015,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6533
2016,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6450
2017,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6355
2018,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6383
2019,Prince Edward Island,Food and non-alcoholic beverages,Dollars,6552
2020,Prince Edward Island,Food and non-alcoholic beverages,Dollars,7307
2010,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,2961
2011,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,2901
2012,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3013
2013,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3049
2014,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3008
2015,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3151
2016,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3126
2017,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3068
2018,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3203
2019,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3169
2020,Prince Edward Island,Alcoholic beverages and tobacco,Dollars,3336
2010,Prince Edward Island,Clothing and footwear,Dollars,2623
2011,Prince Edward Island,Clothing and footwear,Dollars,2569
2012,Prince Edward Island,Clothing and footwear,Dollars,2591
2013,Prince Edward Island,Clothing and footwear,Dollars,2660
2014,Prince Edward Island,Clothing and footwear,Dollars,2647
