Knowledge of official languages at admission,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,,"Total, knowledge of official languages",,,,,,,,,,
Admission year 6,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,,"2009, admission year",,,,,,,,,,
Statistics 8 9 10 11 12 13 14 15 16 17,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,,"Median wages, salaries and commissions 13 17",,,,,,,,,,
Immigrant admission category 7,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, immigrant admission category",..,"20,900","23,600","25,900","27,900","29,400","31,200","32,100","33,700","35,700","36,900",..,"23,300","29,500","34,700","31,700","36,300","35,200","40,700","45,600","45,100","47,100",..,"15,500","14,400","13,900","15,600","17,100","17,500","23,200","22,300","21,500","27,500",..,"23,100","26,400","28,200","30,300","29,700","31,600","32,000","33,100","35,200","36,100",..,"22,200","23,600","25,000","24,300","25,200","25,400","31,300","32,500","31,800","31,900",..,"17,000","20,000","22,700","25,400","27,200","28,900","30,400","32,500","34,500","36,500",..,"19,400","22,400","24,100","25,700","27,100","29,200","30,500","31,900","34,500","35,300",..,"23,500","26,700","28,700","30,300","31,300","32,700","33,500","34,400","35,000","35,700",..,"28,400","31,800","34,800","35,800","38,100","39,500","38,800","39,900","40,700","41,300",..,"28,700","33,100","36,900","39,300","40,900","41,100","40,600","41,100","42,400","43,100",..,"20,200","21,900","23,900","26,000","27,100","28,800","30,700","32,500","34,400","36,400",..,"37,200","37,600","42,200","42,400","42,100","45,900","49,900","53,000","58,300","60,100"
Refugee,..,"15,700","17,600","19,200","20,900","21,900","23,100","23,600","25,100","27,300","28,100",..,"9,900","14,500","15,800","18,900","23,500","22,300","16,000","27,000","26,600","34,700",..,"5,300","7,500","4,400","8,700","12,200","8,900","12,000","14,800","15,600","18,100",..,"10,600","15,900","16,300","15,400","17,500","13,800","18,700","18,400","20,700","20,400",..,"16,000","14,600","14,900","20,700","20,500","23,800","32,500","28,500","28,900","29,700",..,"12,400","12,500","13,400","15,400","16,900","17,600","18,300","20,500","22,000","23,900",..,"16,100","17,000","18,400","19,900","20,200","21,700","22,600","24,500","27,500","27,900",..,"15,700","19,400","22,100","25,300","25,200","23,500","26,300","26,600","26,600","27,700",..,"14,100","20,600","21,700","23,400","26,300","27,700","27,500","29,600","29,000","30,500",..,"19,300","25,600","28,100","30,900","32,400","32,700","31,800","33,400","33,500","34,300",..,"13,800","17,200","18,800","18,300","20,900","22,800","23,800","24,600","26,400","27,400",..,"37,500","37,300","42,200","52,600","30,900","26,300","37,200","45,300","57,100","62,000"
Government-assisted refugee,..,"8,300","13,100","14,800","16,800","19,000","19,700","20,000","21,600","24,100","24,600",..,"8,800","12,100","15,300","16,800","23,100","19,000","15,700","20,800","37,700","34,700",..,"5,300","8,900","4,400","8,500","12,200","8,700","12,000","14,800","14,900","16,700",..,"10,600","15,800","15,200","13,100","17,500","14,000","21,100","18,000","18,800","20,400",..,"16,300","13,100","13,400","16,500","18,500","23,400","26,600","26,700","28,900","29,600",..,"3,400","6,700","8,600","10,100","13,800","14,600","14,400","16,800","18,600","18,500",..,"7,500","10,600","11,800","14,300","14,500","14,700","16,300","18,000","22,100","21,800",..,"6,500","14,700","19,200","22,200","22,500","23,400","23,500","24,400","26,400","26,300",..,"9,700","16,100","20,200","20,000","24,500","27,500","26,500","25,300","27,900","31,200",..,"10,300","18,400","21,300","26,700","28,700","29,200","30,100","31,600","31,200","32,600",..,"8,600","16,800","17,600","16,600","19,000","19,400","22,400","23,300","21,600","24,800",..,0,0,0,0,0,0,0,0,0,..
Privately sponsored refugee,..,"17,700","19,700","21,400","22,400","22,300","23,300","24,300","25,200","27,100","27,800",..,0,0,0,0,0,0,0,0,0,..,..,0,0,0,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,..,..,0,..,..,0,0,0,0,0,0,..,..,"12,000","10,300","12,400","14,400","16,800","15,600","17,000","17,500","19,400","24,200",..,"16,400","17,300","19,100","18,900","18,600","20,900","22,200","23,400","25,900","26,000",..,"18,500","21,600","23,800","26,700","25,900","23,200","27,600","28,000","26,600","29,800",..,"21,000","23,900","23,300","26,700","29,500","27,000","29,100","33,000","30,600","31,200",..,"23,300","27,600","31,300","32,600","33,500","33,400","33,400","33,800","34,200","34,600",..,"15,900","15,200","16,400","17,000","19,400","22,400","23,600","24,300","25,900","23,800",..,0,"36,000",0,0,0,0,0,0,0,"34,600"
Protected person in Canada,..,"20,500","21,600","23,300","25,200","26,100","27,600","28,400","30,200","32,100","33,300",..,..,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,"26,300","25,900","34,000",0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,..,..,"17,100","17,900","18,400","21,400","22,000","24,100","25,600","26,400","29,200","31,400",..,"20,200","20,700","22,800","24,400","25,100","26,700","28,000","30,300","32,200","32,600",..,"24,700","26,700","24,800","29,600",0,0,"28,000","24,100","31,100",..,..,"23,100","32,800","27,100","34,900","32,600","37,700","26,700","36,200","38,600","36,600",..,"31,000","36,700","40,400","41,700","48,600","46,900","41,200","45,400","45,100","43,100",..,"23,500","25,100","25,400","26,300","28,600","31,000","28,000","27,300","30,400","34,800",..,0,0,0,0,0,0,0,0,0,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"This table uses the Longitudinal Immigration Database (IMDB), an administrative database that combines data from Immigration, Refugees and Citizenship Canada (IRCC) with tax files. This table includes statistics of immigrant taxfilers who were 15 years of age or older at year of taxation.  For further details, please refer to the <a href=https://www150.statcan.gc.ca/n1/pub/11-633-x/11-633-x2021008-eng.htm"">Longitudinal Immigration Database (IMDB) Technical Report"," 2020</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"The reference periods indicate the years in which immigrants filed taxes. For example, 2015 refers to the tax year of 2015 and 2019 refers to the tax year of 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Table 43-10-0026-01 replaces the archived table 43-10-0016-01.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Geography refers to the province at taxation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Other cases not stated may be included in total but not shown as a category.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Admission year is the year in which an immigrant first obtained their landed immigrant/permanent resident status. This may or may not be the same as the year of arrival.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Immigrant admission category refers to the category under which immigrants are admitted to Canada by immigration authorities. For further information, please refer to the <a href=http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=323293"">Classification of admission category of immigrant</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,The total number of residents represents the number of immigrant taxfilers residing in the specified geography on December 31st of the corresponding tax year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Social assistance benefits are family level financial assistance/benefits provided by federal and/or provincial programs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Incidence is the proportion of immigrant taxfilers with this type of income.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Employment income is the sum of wages, salaries, commissions, and self-employment income.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Total income includes the taxfiler’s income from taxable sources (for example, all market incomes such as employment earnings) as well as non-taxable sources (for example, government transfers such as social assistance or child benefits).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"The wages, salaries and commissions category is the sum of T4 earnings (line 101 on the income tax form) and other employment income (line 104).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"If tax year is 1988 or later, self-employment income is the sum of self-employment income (from business (line 135), professional (line 137), commission (line 139), farming (line 141) or fishing (line 143) income) and limited partnership (line 122) income. If tax year is prior to 1988, then limited partnership income is not included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Employment insurance benefits are income paid to individuals experiencing paid-employment income interruptions or those who stop working because of sickness, injury, pregnancy, birth or adoption of a child. Prior to 1996, these benefits were referred to as Unemployment Insurance Benefits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Investment income is the sum of dividend income (line 120), interest and other investment income (line 121) and taxable capital gains (line 127).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Income values are adjusted to 2019 constant dollars. Values zero and one are not included in medians.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 43-10-0026-01  Income of Immigrant tax-filers, by immigrant admission category and tax year, for Canada and provinces, 2019 constant dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=4310002601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
